,precision,recall,f1-score,support
AKIEC,0.7763401109057301,0.8015267175572519,0.7887323943661971,524.0
BCC,0.4714548802946593,0.7804878048780488,0.5878300803673938,328.0
BKL,0.631858407079646,0.51,0.5644268774703557,700.0
DF,0.3937007874015748,0.3401360544217687,0.36496350364963503,147.0
MEL,0.5592203898050975,0.5290780141843971,0.543731778425656,705.0
NV,0.8931076178960097,0.8843390804597702,0.8887017206112381,4176.0
VASC,0.7730061349693251,0.782608695652174,0.7777777777777778,161.0
accuracy,0.7825248479454087,0.7825248479454087,0.7825248479454087,0.7825248479454087
macro avg,0.6426697611931489,0.6611680524504873,0.6451663046668933,6741.0
weighted avg,0.7877074758094387,0.7825248479454087,0.7824690701022071,6741.0
