Actual,Predicted,svm_count,cnn_count,resnet_count
AKIEC,AKIEC,137,131,132
AKIEC,BCC,10,11,4
AKIEC,BKL,6,12,11
AKIEC,DF,4,2,7
AKIEC,MEL,5,1,3
AKIEC,NV,0,5,5
AKIEC,VASC,2,2,2
BCC,AKIEC,5,13,7
BCC,BCC,79,66,59
BCC,BKL,9,7,6
BCC,DF,2,3,2
BCC,MEL,4,3,6
BCC,NV,1,10,21
BCC,VASC,3,1,2
BKL,AKIEC,11,25,12
BKL,BCC,34,40,9
BKL,BKL,111,82,118
BKL,DF,5,4,3
BKL,MEL,40,34,22
BKL,NV,17,31,54
BKL,VASC,1,3,1
DF,AKIEC,11,13,7
DF,BCC,7,9,2
DF,BKL,3,1,6
DF,DF,17,10,19
DF,MEL,4,3,2
DF,NV,3,8,9
DF,VASC,2,3,2
MEL,AKIEC,6,6,4
MEL,BCC,11,12,7
MEL,BKL,33,22,17
MEL,DF,0,0,0
MEL,MEL,149,112,113
MEL,NV,18,67,75
MEL,VASC,4,2,5
NV,AKIEC,16,12,2
NV,BCC,52,47,14
NV,BKL,102,34,26
NV,DF,21,12,3
NV,MEL,185,75,51
NV,NV,922,1118,1198
NV,VASC,8,8,12
VASC,AKIEC,2,2,2
VASC,BCC,1,4,1
VASC,BKL,1,1,1
VASC,DF,0,0,2
VASC,MEL,2,0,0
VASC,NV,3,2,5
VASC,VASC,42,42,40
