,precision,recall,f1-score,support
AKIEC,0.890625,0.8702290076335878,0.8803088803088803,655.0
BCC,0.5347826086956522,0.9,0.6709090909090909,410.0
BKL,0.5559534467323187,0.7097142857142857,0.6234939759036144,875.0
DF,0.6164874551971327,0.9347826086956522,0.7429805615550756,184.0
MEL,0.44648511716276124,0.8002270147559591,0.573170731707317,881.0
NV,0.9876954627018714,0.7381226053639847,0.8448635018090122,5220.0
VASC,0.9004524886877828,0.9851485148514851,0.9408983451536643,202.0
accuracy,0.7700249199003204,0.7700249199003204,0.7700249199003204,0.7700249199003204
macro avg,0.7046402255967885,0.8483177195735649,0.753803583906665,8427.0
weighted avg,0.8465086399016687,0.7700249199003204,0.7878430112632099,8427.0
